%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
13374000000,7.909137522310594e-05,-0.00016796644369278246,-0.00020765245990300718,0.0,0.0,0.0
13384000000,7.798176211881724e-05,-0.0001663612516002999,-0.00020539212616060842,0.0,0.0,0.0
13402000000,7.724760298322142e-05,-0.00016530040544213143,-0.00020389797552841649,0.0,0.0,0.0
13405000000,7.343951563143492e-05,-0.00016452051934547074,-0.00020531587027400322,0.0,0.0,0.0
13414000000,7.308151153606612e-05,-0.00016500646562123134,-0.00019771327165385433,0.0,0.0,0.0
13424000000,7.308151153606612e-05,-0.00016500646562123134,-0.00019771327165385433,0.0,0.0,0.0
13434000000,7.260031679934276e-05,-0.00015854462440351158,-0.0001944033500942688,0.0,0.0,0.0
13444000000,7.260031679934276e-05,-0.00015854462440351158,-0.0001944033500942688,0.0,0.0,0.0
13455000000,6.747394514872163e-05,-0.00015581712338214038,-0.00019313248551164341,0.0,0.0,0.0
13466000000,6.913294097943279e-05,-0.00015349282031749956,-0.0001873509787974903,0.0,0.0,0.0
13474000000,6.544596539781455e-05,-0.0001528555882542998,-0.00018897138457218965,0.0,0.0,0.0
13484000000,6.484248338711751e-05,-0.0001529737921840968,-0.00018084130659842823,0.0,0.0,0.0
13496000000,6.514305680171972e-05,-0.0001476599930239214,-0.0001791377661234661,0.0,0.0,0.0
13504000000,6.514305680171972e-05,-0.0001476599930239214,-0.0001791377661234661,0.0,0.0,0.0
13515000000,6.084803422357066e-05,-0.0001461596783201985,-0.0001795628308453867,0.0,0.0,0.0
13528000000,6.190472187861396e-05,-0.000142962814556849,-0.00017255117369741058,0.0,0.0,0.0
13534000000,5.936047035104419e-05,-0.00014499010440061078,-0.0001696295723935537,0.0,0.0,0.0
13544000000,5.768572510778114e-05,-0.00014155755391931368,-0.00017309562988285232,0.0,0.0,0.0
13554000000,5.675864410747966e-05,-0.00014019963919345568,-0.00017119624169084635,0.0,0.0,0.0
13565000000,5.628263147072765e-05,-0.00014048635467167614,-0.00016330552737761628,0.0,0.0,0.0
13574000000,5.537754663598182e-05,-0.00013916056706581026,-0.0001614460799997386,0.0,0.0,0.0
13584000000,5.577120260147339e-05,-0.0001339837555872775,-0.00015995739362076322,0.0,0.0,0.0
13595000000,5.5175110136418404e-05,-0.00013311297204715578,-0.00015874745261501566,0.0,0.0,0.0
13606000000,5.487761358835552e-05,-0.00013268265649662991,-0.00015814593646235053,0.0,0.0,0.0
13613000000,5.1068453183256146e-05,-0.00013190989144669374,-0.00015959582849062182,0.0,0.0,0.0
13624000000,4.961740739850562e-05,-0.0001298157722523785,-0.00015666717686668719,0.0,0.0,0.0
13636000000,4.876938081455062e-05,-0.00012857453061919377,-0.00015492238770725697,0.0,0.0,0.0
13644000000,4.9979401046784666e-05,-0.0001255820839540095,-0.00014818401528662872,0.0,0.0,0.0
13654000000,4.9143516008265387e-05,-0.00012436967186257863,-0.00014647230588882287,0.0,0.0,0.0
13663000000,4.83072431568532e-05,-0.00012317200573017106,-0.00014478295756695236,0.0,0.0,0.0
13674000000,4.4876498277224286e-05,-0.00012295530067440996,-0.0001469997332603501,0.0,0.0,0.0
13692000000,4.6122068648624115e-05,-0.00012003357601940434,-0.00014036349036136708,0.0,0.0,0.0
13703000000,4.3004401753643506e-05,-0.00012023521548051863,-0.00014316880002193666,0.0,0.0,0.0
13704000000,4.4535829081815415e-05,-0.000117715750822589,-0.00013710095348021256,0.0,0.0,0.0
13714000000,4.374723289002347e-05,-0.00011657602005986367,-0.00013549190885822626,0.0,0.0,0.0
13724000000,4.2698696846144024e-05,-0.00011507953659242731,-0.00013337826349454907,0.0,0.0,0.0
13735000000,4.2178621877386746e-05,-0.00011433939789098901,-0.00013233478549959377,0.0,0.0,0.0
13744000000,4.114774455543646e-05,-0.00011287434111213746,-0.00013027138494201007,0.0,0.0,0.0
13755000000,4.089176977606357e-05,-0.00011251068742149095,-0.00012976017520816008,0.0,0.0,0.0
13764000000,3.780948341114421e-05,-0.0001127997434795941,-0.0001326941046791985,0.0,0.0,0.0
13774000000,3.937178042900946e-05,-0.00011035414276566735,-0.00012673214056910242,0.0,0.0,0.0
13784000000,3.557802614140293e-05,-0.00010959922131356659,-0.0001282085520834808,0.0,0.0,0.0
13794000000,3.460984039660442e-05,-0.00010820239500890227,-0.0001262451788283936,0.0,0.0,0.0
13804000000,3.4372035502716614e-05,-0.00010785587548368947,-0.00012575615812551733,0.0,0.0,0.0
13814000000,3.319551882829952e-05,-0.00010613964350329741,-0.0001233314850690448,0.0,0.0,0.0
13826000000,3.203701169118833e-05,-0.00010444630696504476,-0.0001209372299710576,0.0,0.0,0.0
13834000000,3.1807487060220296e-05,-0.00010411090186004945,-0.00012046249248293117,0.0,0.0,0.0
14789000000,0.02150330150736267,-0.20497834156035608,0.15009884755877845,-0.0,-0.0,-0.0
14798000000,0.020910068064775793,-0.2046815282522169,0.1480029041187312,-0.0,-0.0,-0.0
14808000000,0.020394283550666335,-0.2044744960591836,0.14617743548580336,-0.0,-0.0,-0.0
14818000000,0.019894333554366653,-0.20430456706197514,0.14440654844123424,-0.0,-0.0,-0.0
14828000000,0.019189313768489927,-0.20408971507335308,0.14190404078520957,-0.0,-0.0,-0.0
14838000000,0.01882380555692842,-0.20398412430090468,0.14060396584279558,-0.0,-0.0,-0.0
14848000000,0.01800838272554207,-0.20375056491050428,0.13769484002679963,-0.0,-0.0,-0.0
14858000000,0.01736433838527097,-0.2035703203306143,0.1353925896114946,-0.0,-0.0,-0.0
14868000000,0.01671321226455551,-0.20337222361817567,0.13305328969358052,-0.0,-0.0,-0.0
14879000000,0.016119579664760197,-0.20318395439038353,0.1309138984801218,-0.0,-0.0,-0.0
14888000000,0.015386900546203657,-0.20293915127328582,0.12826469234498164,-0.0,-0.0,-0.0
14898000000,0.014786330057515585,-0.20272190534440274,0.12608378372951878,-0.0,-0.0,-0.0
14912000000,0.014585844952232828,-0.20264643499530044,0.125354058120962,-0.0,-0.0,-0.0
14920000000,0.013583117419203093,-0.2022440004651775,0.12169145199956695,-0.0,-0.0,-0.0
14933000000,0.013583117419203093,-0.2022440004651775,0.12169145199956695,-0.0,-0.0,-0.0
14938000000,0.012116382142738379,-0.20158190872147985,0.1162977123651428,-0.0,-0.0,-0.0
14948000000,0.011319750693877428,-0.20118600779487672,0.11335023638425043,-0.0,-0.0,-0.0
14961000000,0.010660825221063762,-0.2008300955835784,0.11089760087709175,-0.0,-0.0,-0.0
14967000000,0.010072491525177639,-0.20049588043992883,0.10870063781747827,-0.0,-0.0,-0.0
14978000000,0.009488529855774636,-0.20014606187194586,0.10651154582044084,-0.0,-0.0,-0.0
14995000000,0.008909102671548928,-0.19978128283157603,0.10433159605285484,-0.0,-0.0,-0.0
15004000000,0.008142858925619242,-0.1992746291883496,0.10143866593857319,-0.0,-0.0,-0.0
15016000000,0.008142858925619242,-0.1992746291883496,0.10143866593857319,-0.0,-0.0,-0.0
15019000000,0.0073194902316143185,-0.19870620544023335,0.09832013022946616,-0.0,-0.0,-0.0
15028000000,0.006197166484744918,-0.19787029413384655,0.09404170593164024,-0.0,-0.0,-0.0
15038000000,0.005584664873959537,-0.1973816961169772,0.09169209662785235,-0.0,-0.0,-0.0
15051000000,0.005038896315179105,-0.1969286613418215,0.08959000990482748,-0.0,-0.0,-0.0
15058000000,0.0046175337154325995,-0.19656521954608083,0.08796115157317833,-0.0,-0.0,-0.0
15068000000,0.003904767086316041,-0.19592896042428953,0.08519719685599181,-0.0,-0.0,-0.0
15078000000,0.003376486335991439,-0.1954386826341294,0.08314100789598872,-0.0,-0.0,-0.0
15088000000,0.002622894317471886,-0.19471489070002695,0.0801972993364074,-0.0,-0.0,-0.0
15102000000,0.0024508162293353885,-0.19454376343341984,0.07952269033302302,-0.0,-0.0,-0.0
15102000000,0.0016582586031186806,-0.19372279317293767,0.07640088415356482,-0.0,-0.0,-0.0
15102000000,0.0011541971752919782,-0.193186479187916,0.07441041250292865,-0.0,-0.0,-0.0
15128000000,0.0005999715831644817,-0.19258341966089282,0.07221599149226585,-0.0,-0.0,-0.0
15138000000,-0.00016294047581169488,-0.1917095092505164,0.06917644899166295,-0.0,-0.0,-0.0
15147000000,-0.0006456909521423454,-0.19113710950299498,0.06724433578683832,-0.0,-0.0,-0.0
15158000000,-0.0010686367894825156,-0.19062218063985803,0.0655461938468557,-0.0,-0.0,-0.0
15168000000,-0.0016956683979733275,-0.18983194411648852,0.06301705833819064,-0.0,-0.0,-0.0
15179000000,-0.0020575747536589932,-0.18936070668883245,0.061550760533725525,-0.0,-0.0,-0.0
15188000000,-0.002719937345885162,-0.18848062927207182,0.058860651585565985,-0.0,-0.0,-0.0
15198000000,-0.003269789034942957,-0.18771359101528,0.056611972750721544,-0.0,-0.0,-0.0
15209000000,-0.0035165516387727688,-0.18736538802600408,0.05560164267898629,-0.0,-0.0,-0.0
15218000000,-0.004248338766638163,-0.18629701086341788,0.05258913116067822,-0.0,-0.0,-0.0
15229000000,-0.004680194416811773,-0.1856451703146934,0.05080247057072683,-0.0,-0.0,-0.0
15238000000,-0.005106181561512399,-0.18498509123968723,0.049032850388090056,-0.0,-0.0,-0.0
15253000000,-0.005665631102608698,-0.18409289603596726,0.04669828765840315,-0.0,-0.0,-0.0
15258000000,-0.006079625030384623,-0.18341543891464518,0.04496407615703988,-0.0,-0.0,-0.0
15268000000,-0.00648779548694314,-0.18273014671746618,0.04324650556273307,-0.0,-0.0,-0.0
15277000000,-0.006890311912281682,-0.18203735878264488,0.04154560948488444,-0.0,-0.0,-0.0
15288000000,-0.00737721688479449,-0.18118333269632786,0.039481613208313796,-0.0,-0.0,-0.0
15330000000,-0.009208625304626912,-0.1777478167545206,0.03163022086474257,-0.0,-0.0,-0.0
15331000000,-0.009208625304626912,-0.1777478167545206,0.03163022086474257,-0.0,-0.0,-0.0
15332000000,-0.009294168340878645,-0.17758807142967192,0.031263984574705916,-0.0,-0.0,-0.0
15338000000,-0.009543047175897539,-0.17709947779121107,0.030188125763056073,-0.0,-0.0,-0.0
15348000000,-0.009908547043558372,-0.17636071582500848,0.028596891684701246,-0.0,-0.0,-0.0
15361000000,-0.010305457938678106,-0.17552846337380046,0.026856692189512258,-0.0,-0.0,-0.0
15369000000,-0.010658366192856228,-0.17477349427260744,0.025303305454619677,-0.0,-0.0,-0.0
