%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8
13374000000,0,150.00000000000026,-2.7355895326763857e-13,-1.4566126083082054e-13,-2.877698079828406e-13,150.00000000000028,1.4210854715202004e-14,-1.3855583347321954e-13,1.4210854715202004e-14,149.99999999999952
13374000000,0,149.99999999999997,-4.973799150320701e-14,-3.552713678800501e-15,-4.618527782440651e-14,150.0,0.0,0.0,0.0,150.0
13374000000,0,149.99999999999807,1.9539925233402755e-13,1.1013412404281553e-13,2.0250467969162855e-13,150.00000000000182,-4.973799150320701e-13,1.1013412404281553e-13,-4.973799150320701e-13,150.00000000000014
13374000000,0,150.0,3.552713678800501e-15,-1.7763568394002505e-14,3.552713678800501e-15,150.0,1.4210854715202004e-14,-2.4868995751603507e-14,1.4210854715202004e-14,150.0
13374000000,0,150.0,-3.552713678800501e-15,3.552713678800501e-15,-1.0658141036401503e-14,150.00000000000003,1.4210854715202004e-14,7.105427357601002e-15,1.4210854715202004e-14,150.0
13374000000,0,150.00000000000003,3.552713678800501e-14,0.0,2.842170943040401e-14,149.9999999999999,0.0,-7.105427357601002e-15,1.4210854715202004e-14,150.0000000000001
13374000000,0,149.99999999999994,9.947598300641403e-14,6.039613253960852e-14,9.947598300641403e-14,149.99999999999991,2.842170943040401e-14,5.3290705182007514e-14,2.842170943040401e-14,150.00000000000014
13375000000,0,150.0,-3.552713678800501e-15,7.105427357601002e-15,-3.552713678800501e-15,150.00000000000006,0.0,7.105427357601002e-15,1.4210854715202004e-14,150.0
13376000000,0,150.0,4.973799150320701e-14,2.1316282072803006e-14,4.973799150320701e-14,149.9999999999999,-1.4210854715202004e-14,2.4868995751603507e-14,-2.842170943040401e-14,150.00000000000006
13377000000,0,150.00000000000009,-6.039613253960852e-14,-4.973799150320701e-14,-6.039613253960852e-14,149.99999999999997,-2.842170943040401e-14,-4.618527782440651e-14,-4.263256414560601e-14,149.9999999999999
13378000000,0,149.99999999999997,-6.394884621840902e-14,1.0658141036401503e-13,-6.394884621840902e-14,149.99999999999994,-4.263256414560601e-14,1.1013412404281553e-13,-5.684341886080802e-14,150.00000000000006
13379000000,0,150.00000000000003,-1.4210854715202004e-14,1.0658141036401503e-14,-1.4210854715202004e-14,150.00000000000006,-1.4210854715202004e-14,2.1316282072803006e-14,-2.842170943040401e-14,149.99999999999991
13380000000,0,150.00000000000003,-1.4210854715202004e-14,-3.552713678800501e-14,-1.4210854715202004e-14,149.9999999999999,-5.684341886080802e-14,-3.907985046680551e-14,-7.105427357601002e-14,150.00000000000006
13381000000,0,150.0,2.1316282072803006e-14,1.0302869668521453e-13,2.842170943040401e-14,150.00000000000009,5.684341886080802e-14,1.0302869668521453e-13,2.842170943040401e-14,149.99999999999986
13382000000,0,149.99999999999977,1.9895196601282805e-13,2.3447910280083306e-13,1.9895196601282805e-13,150.00000000000006,5.684341886080802e-14,2.3447910280083306e-13,4.263256414560601e-14,150.0000000000001
13383000000,0,149.99999999999994,3.552713678800501e-14,-5.684341886080802e-14,3.552713678800501e-14,150.00000000000003,-2.842170943040401e-14,-4.973799150320701e-14,-4.263256414560601e-14,149.99999999999994
13384000000,0,149.99999999999994,-3.552713678800501e-14,4.618527782440651e-14,-3.552713678800501e-14,150.0000000000001,2.842170943040401e-14,5.3290705182007514e-14,1.4210854715202004e-14,149.9999999999998
13385000000,0,149.99999999999997,2.842170943040401e-14,7.105427357601002e-14,3.552713678800501e-14,150.0,1.4210854715202004e-14,6.750155989720952e-14,0.0,149.99999999999994
13386000000,0,150.0,-1.0658141036401503e-14,1.0658141036401503e-14,1.4210854715202004e-14,150.0,0.0,1.0658141036401503e-14,-1.4210854715202004e-14,149.99999999999997
13387000000,0,149.99999999999997,0.0,0.0,0.0,150.0,-2.842170943040401e-14,0.0,-2.842170943040401e-14,150.0
13387000000,0,150.00000000000003,-1.0658141036401503e-14,3.907985046680551e-14,-7.105427357601002e-15,150.0,-1.4210854715202004e-14,3.197442310920451e-14,-2.842170943040401e-14,150.0
13389000000,0,150.00000000000045,-4.689582056016661e-13,4.583000645652646e-13,-4.654054919228656e-13,149.99999999999977,1.8474111129762605e-13,4.547473508864641e-13,1.8474111129762605e-13,149.99999999999983
13393000000,0,150.0,-1.7763568394002505e-14,-7.105427357601002e-15,-2.842170943040401e-14,150.0,-1.4210854715202004e-14,-7.105427357601002e-15,-1.4210854715202004e-14,149.99999999999997
13393000000,0,150.0,-3.552713678800501e-15,1.0658141036401503e-14,0.0,150.0,0.0,1.0658141036401503e-14,0.0,150.0
13393000000,0,150.00000000000003,3.552713678800501e-15,-7.105427357601002e-15,0.0,150.0,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,150.0
13393000000,0,150.00000000000014,2.5224267119483557e-13,-4.121147867408581e-13,2.5224267119483557e-13,150.0000000000001,-7.105427357601002e-14,-4.121147867408581e-13,-7.105427357601002e-14,149.99999999999983
13393000000,0,150.0,2.4868995751603507e-14,3.552713678800501e-15,2.4868995751603507e-14,149.99999999999997,0.0,3.552713678800501e-15,0.0,150.0
