time,fext_field.header.seq,fext_field.header.stamp,fext_field.header.frame_id,fext_field.wrench.force.x,fext_field.wrench.force.y,fext_field.wrench.force.z,fext_field.wrench.torque.x,fext_field.wrench.torque.y,fext_field.wrench.torque.z,eevel_field.linear.x,eevel_field.linear.y,eevel_field.linear.z,eevel_field.angular.x,eevel_field.angular.y,eevel_field.angular.z,eepose_field.position.x,eepose_field.position.y,eepose_field.position.z,eepose_field.orientation.x,eepose_field.orientation.y,eepose_field.orientation.z,eepose_field.orientation.w,twist_cmd_field.linear.x,twist_cmd_field.linear.y,twist_cmd_field.linear.z,twist_cmd_field.angular.x,twist_cmd_field.angular.y,twist_cmd_field.angular.z,Dmat_field.layout.data_offset,Dmat_field.data0,Dmat_field.data1,Dmat_field.data2,Dmat_field.data3,Dmat_field.data4,Dmat_field.data5,Dmat_field.data6,Dmat_field.data7,Dmat_field.data8,eigval0_field.data,t_s,wdot_conservative
13374000000.0,4057,13367000000,panda_K,-0.1783233171273006,0.9624983351682826,-0.1201788321911387,-0.1671681207183629,0.0898947567857993,0.0666280236412086,-0.0007156918756066,0.0020296093264292,-0.0054187030225289,-0.0015869508806119,0.0040470643360514,0.0035131200433693,0.589223109695167,-0.0953392481093232,0.1829900693518545,0.999472134806766,-0.0301670278663914,0.0114435890903954,-0.0031059703655561,7.909137522310594e-05,-0.0001679664436927,-0.000207652459903,0.0,0.0,0.0,0,149.99999999999994,9.947598300641405e-14,6.039613253960854e-14,9.947598300641405e-14,149.99999999999991,2.8421709430404014e-14,5.3290705182007527e-14,2.8421709430404014e-14,150.00000000000014,150.0,13374000000.0,-0.005158026069226876
13374000000.0,4058,13369000000,panda_K,-0.1402211884913601,-0.5130168534497229,1.2160562722094288,0.0569977809876536,-0.0750098416256371,-0.071010389863027,-0.0007156918756066,0.0020296093264292,-0.0054187030225289,-0.0015869508806119,0.0040470643360514,0.0035131200433693,0.589223109695167,-0.0953392481093232,0.1829900693518545,0.999472134806766,-0.0301670278663914,0.0114435890903954,-0.0031059703655561,7.909137522310594e-05,-0.0001679664436927,-0.000207652459903,0.0,0.0,0.0,0,149.99999999999994,9.947598300641405e-14,6.039613253960854e-14,9.947598300641405e-14,149.99999999999991,2.8421709430404014e-14,5.3290705182007527e-14,2.8421709430404014e-14,150.00000000000014,150.0,13374000000.0,-0.004907330007501329
13374000000.0,4059,13372000000,panda_K,-0.1403016853992409,-0.5131449067446586,1.2159394342868677,0.0570035165288614,-0.0750277933558682,-0.0710169907794357,-0.0007156918756066,0.0020296093264292,-0.0054187030225289,-0.0015869508806119,0.0040470643360514,0.0035131200433693,0.589223109695167,-0.0953392481093232,0.1829900693518545,0.999472134806766,-0.0301670278663914,0.0114435890903954,-0.0031059703655561,7.909137522310594e-05,-0.0001679664436927,-0.000207652459903,0.0,0.0,0.0,0,149.99999999999994,9.947598300641405e-14,6.039613253960854e-14,9.947598300641405e-14,149.99999999999991,2.8421709430404014e-14,5.3290705182007527e-14,2.8421709430404014e-14,150.00000000000014,150.0,13374000000.0,-0.004907334778974981
13375000000.0,4060,13375000000,panda_K,-0.1403554661846309,-0.513258548514275,1.2157629896105118,0.0570056798110256,-0.0750210140870169,-0.0710238627070595,-0.0012673645757251,-0.0038779658045194,0.0002947370452253,-0.0065531404245552,0.0011425731460664,-0.0003575491313129,0.5892234807418265,-0.095339785621149,0.1829893128188787,0.9994721348300548,-0.0301670258071429,0.0114435922553875,-0.003105971211129,7.909137522310594e-05,-0.0001679664436927,-0.000207652459903,0.0,0.0,0.0,0,150.0,-3.552713678800501e-15,7.105427357601002e-15,-3.552713678800501e-15,150.00000000000006,0.0,7.105427357601002e-15,1.4210854715202004e-14,150.0,150.0,13375000000.0,-0.0023120066665904887
13378000000.0,4061,13378000000,panda_K,-0.1401976880592327,-0.5129546272335636,1.2162016354929337,0.056994075233241,-0.0750244640597391,-0.0710105459777794,-0.0012677644662529,-0.0038768627412077,0.0002960142907118,-0.006551942817122,0.0011430324800795,-0.0003572214643073,0.5892238506949589,-0.0953403204741661,0.1829885598242418,0.9994721348646544,-0.0301670233813831,0.0114435951439549,-0.0031059729952648,7.909137522310594e-05,-0.0001679664436927,-0.000207652459903,0.0,0.0,0.0,0,149.99999999999997,-6.394884621840903e-14,1.0658141036401505e-13,-6.394884621840903e-14,149.99999999999994,-4.263256414560601e-14,1.1013412404281553e-13,-5.684341886080804e-14,150.00000000000006,150.0,13378000000.0,-0.002311153037830576
13381000000.0,4062,13381000000,panda_K,-0.1402776474527634,-0.5131134160601388,1.2160606079796672,0.0570053907512432,-0.075042672052274,-0.0710195378023046,-0.0012682340281215,-0.0038762712637684,0.000296633030545,-0.0065522261984792,0.0011438660458013,-0.0003573272223014,0.5892242193082713,-0.0953408533014157,0.1829878090181121,0.999472134911339,-0.0301670211311065,0.0114435965308348,-0.0031059747189076,7.798176211881724e-05,-0.0001663612516002,-0.0002053921261606,0.0,0.0,0.0,0,150.0,2.1316282072803012e-14,1.0302869668521453e-13,2.8421709430404014e-14,150.00000000000009,5.684341886080804e-14,1.0302869668521453e-13,2.8421709430404014e-14,149.99999999999986,150.0,13381000000.0,-0.002310760306112507
13385000000.0,4063,13384000000,panda_K,-0.1403407194556838,-0.5132248276719478,1.215905324399528,0.0570073747975543,-0.0750433830016418,-0.0710256560470976,0.0023526969579983,0.0013128705776328,0.0043711756587126,0.0081406459593173,-0.0051955976912927,-0.0031522409289081,0.589224586843646,-0.0953413846713461,0.1829870604016073,0.9994721349592294,-0.030167018969008,0.0114435978088358,-0.0031059755992576,7.798176211881724e-05,-0.0001663612516002,-0.0002053921261606,0.0,0.0,0.0,0,149.99999999999997,2.8421709430404014e-14,7.105427357601003e-14,3.5527136788005016e-14,150.0,1.4210854715202004e-14,6.750155989720953e-14,0.0,149.99999999999994,150.0,13385000000.0,-0.004229765106542857
13387000000.0,4064,13387000000,panda_K,-0.1402321876469549,-0.5129976184803421,1.2162043322414338,0.0569921502973769,-0.0750416139081329,-0.071015903958334,-0.0007177204605019,0.0020329464901744,-0.0054145039274983,-0.0015871789917714,0.0040495607037226,0.0035136604302679,0.5892249534674069,-0.0953419141475739,0.1829863148674799,0.9994721350096748,-0.0301670165842208,0.0114435995088363,-0.0031059762655189,7.798176211881724e-05,-0.0001663612516002,-0.0002053921261606,0.0,0.0,0.0,0,150.00000000000003,-1.0658141036401504e-14,3.907985046680551e-14,-7.105427357601002e-15,150.0,-1.4210854715202004e-14,3.1974423109204515e-14,-2.8421709430404014e-14,150.0,150.0,13387000000.0,-0.004903671157905245
13402000000.0,4065,13394000000,panda_K,-0.1784652900482046,0.9619153797631192,-0.1208343986536379,-0.1671348439430671,0.0899152616631585,0.0665908100830347,0.0023508520154492,0.0013158575279603,0.0043762831130416,0.008137850757689,-0.0051954221938874,-0.0031527981668728,0.5892287615547587,-0.0953426940336705,0.1829877327622255,0.9994720455238216,-0.0301686151435763,0.0114460814422474,-0.0031100971964323,7.724760298322142e-05,-0.0001653004054421,-0.0002038979755284,0.0,0.0,0.0,0,150.00000000000006,-2.8421709430404014e-14,-1.4210854715202004e-14,-3.907985046680551e-14,150.0,-4.263256414560601e-14,-1.7763568394002505e-14,-1.4210854715202004e-14,149.99999999999994,150.0,13402000000.0,-0.003944649390835879
13402000000.0,4066,13396000000,panda_K,-0.1404126734043839,-0.5133663372341216,1.2156897036480852,0.0570033484540714,-0.0750407008521116,-0.0710379676639496,0.0023508520154492,0.0013158575279603,0.0043762831130416,0.008137850757689,-0.0051954221938874,-0.0031527981668728,0.5892287615547587,-0.0953426940336705,0.1829877327622255,0.9994720455238216,-0.0301686151435763,0.0114460814422474,-0.0031100971964323,7.724760298322142e-05,-0.0001653004054421,-0.0002038979755284,0.0,0.0,0.0,0,150.00000000000006,-2.8421709430404014e-14,-1.4210854715202004e-14,-3.907985046680551e-14,150.0,-4.263256414560601e-14,-1.7763568394002505e-14,-1.4210854715202004e-14,149.99999999999994,150.0,13402000000.0,-0.0042370947104802634
