%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
28055000000,9271,28052000000,panda_K,0.0561433307254181,0.0010096123964087322,-0.018698010024549273,0.07202567319172093,0.14604120659245368,0.028476628126427254
28055000000,9272,28055000000,panda_K,0.05614525007302434,0.0010093126670212005,-0.018693370565911974,0.07202456541644044,0.14603977811542657,0.028477775121571264
28058000000,9273,28058000000,panda_K,0.05614716434959603,0.001009013866624102,-0.01868873533625443,0.07202345626459035,0.14603834912327912,0.02847892310328316
28061000000,9274,28061000000,panda_K,0.05614907357550445,0.0010087159941306253,-0.018684104333129933,0.07202234573844504,0.14603691961436185,0.02848007206940484
28064000000,9275,28064000000,panda_K,0.056150977770172576,0.0010084190484155806,-0.018679477554271413,0.07202123383817632,0.14603548958727952,0.02848122201777317
28067000000,9276,28067000000,panda_K,0.05615287695261785,0.0010081230283514597,-0.01867485499741564,0.07202012056764803,0.14603405904374137,0.02848237294756776
28070000000,9277,28070000000,panda_K,0.056154771143071415,0.0010078279329075943,-0.018670236659643808,0.07201900592813519,0.14603262798262812,0.028483524857069148
28073000000,9278,28073000000,panda_K,0.05615666036112405,0.00100753376104748,-0.01866562253907698,0.0720178899213526,0.1460311964061198,0.028484677744754036
28076000000,9279,28076000000,panda_K,0.05615854462616698,0.001007240511835178,-0.018661012633756524,0.07201677254804682,0.1460297643129884,0.02848583160794052
28079000000,9280,28079000000,panda_K,0.05616042395730205,0.0010069481840362937,-0.018656406940174036,0.07201565381199213,0.14602833170147034,0.02848698644546365
28082000000,9281,28082000000,panda_K,0.05616229837369505,0.0010066567767266638,-0.01865180545654965,0.07201453371314503,0.14602689857205747,0.02848814225615366
28086000000,9282,28086000000,panda_K,0.02940425653493041,-0.006626609264376748,0.024240284584110736,-0.03483316161068564,0.09706264842968804,-0.029514951165052334
28089000000,9283,28089000000,panda_K,0.029406619200152494,-0.00662688129845633,0.024244919987046677,-0.03483434929786591,0.09706136582532376,-0.02951611499785608
28092000000,9284,28092000000,panda_K,0.029408977252841653,-0.006627152761945823,0.02424955097420459,-0.034835537952423695,0.09706008356865836,-0.02951727963258032
28095000000,9285,28095000000,panda_K,0.0294113307115859,-0.006627423655850138,0.024254177548248244,-0.03483672757140617,0.0970588016553831,-0.02951844506749805
28098000000,9286,28098000000,panda_K,0.0294136795941703,-0.006627693980491796,0.024258799711745424,-0.034837918153581476,0.09705752008489286,-0.029519611302569353
28101000000,9287,28101000000,panda_K,0.02941602391982101,-0.006627963736290973,0.02426341746695851,-0.03483910969635223,0.09705623885738401,-0.029520778335787333
28104000000,9288,28104000000,panda_K,0.029418363704891974,-0.006628232923963542,0.024268030816506726,-0.03484030219741553,0.09705495797107049,-0.02952194616628378
28107000000,9289,28107000000,panda_K,0.02942069896900252,-0.006628501543717663,0.024272639762899423,-0.034841495655702645,0.09705367742599015,-0.029523114792804995
28110000000,9290,28110000000,panda_K,0.029423029728187278,-0.006628769596723635,0.02427724430861096,-0.034842690067339845,0.09705239721794338,-0.0295242842163909
28113000000,9291,28113000000,panda_K,0.029425356002726066,-0.006629037082950415,0.024281844455936733,-0.03484388543255803,0.09705111735237545,-0.029525454433863504
28116000000,9292,28116000000,panda_K,0.029427677808232577,-0.006629304002963535,0.024286440207759906,-0.03484508174797932,0.097049837821602,-0.02952662544480584
28119000000,9293,28119000000,panda_K,0.029429995162589366,-0.006629570357974686,0.024291031566261976,-0.03484627900985487,0.09704855862711363,-0.029527797249943095
28122000000,9294,28122000000,panda_K,0.029432308084157636,-0.0066298361476218245,0.024295618534216037,-0.034847477220221995,0.09704727976888296,-0.02952896984532509
28125000000,9295,28125000000,panda_K,0.029434616589515263,-0.0066301013732643285,0.024300201114322448,-0.03484867637317303,0.09704600124587938,-0.029530143232268016
28128000000,9296,28128000000,panda_K,0.029436920696036893,-0.006630366034787678,0.02430477930942017,-0.034849876469278285,0.09704472305540149,-0.0295313174092509
28131000000,9297,28131000000,panda_K,0.029439220420956987,-0.006630630133725966,0.024309353121453166,-0.03485107750240313,0.09704344519728077,-0.029532492375445293
28134000000,9298,28134000000,panda_K,0.02944151578253676,-0.006630893669462061,0.024313922552938894,-0.034852279475961256,0.09704216767301543,-0.029533668128907616
28137000000,9299,28137000000,panda_K,0.02944380679612292,-0.00663115664348779,0.024318487607467718,-0.03485348238395577,0.09704089047799727,-0.029534844669859575
28140000000,9300,28140000000,panda_K,0.029446093479013835,-0.006631419056277045,0.024323048286722684,-0.03485468622542173,0.09703961361401717,-0.029536021997903682
28143000000,9301,28143000000,panda_K,0.029448375849096868,-0.006631680908038756,0.02432760459359833,-0.03485589099908071,0.09703833707730433,-0.02953720011027409
28146000000,9302,28146000000,panda_K,0.029450653922556733,-0.006631942199334481,0.024332156531109223,-0.03485709670352986,0.09703706087003713,-0.029538379006971545
28149000000,9303,28149000000,panda_K,0.029452927715362023,-0.006632202931241123,0.02433670410166287,-0.03485830333393325,0.09703578498980475,-0.029539558687578456
28152000000,9304,28152000000,panda_K,0.02945519724516616,-0.006632463104098062,0.02434124730801715,-0.03485951088971524,0.09703450943758535,-0.029540739150620058
28155000000,9305,28155000000,panda_K,0.029457462527727348,-0.006632722718280595,0.024345786152740082,-0.03486071937037977,0.09703323420643664,-0.029541920393829746
28158000000,9306,28158000000,panda_K,0.029459723579610082,-0.006632981774995571,0.024350320638286058,-0.034861928771619324,0.09703195930414839,-0.029543102419957702
