x,y,z
5.712025773478632829e-01,-3.260918151693530942e-01,2.096606170230125299e-01
5.701655617049575797e-01,-3.293148330456191486e-01,2.083330006527082667e-01
5.694039153482135518e-01,-3.324802120784953741e-01,2.069197534820210183e-01
5.688771727257387889e-01,-3.355636441706094653e-01,2.053952933389884827e-01
5.685490798760927111e-01,-3.385449093327143055e-01,2.037413210012907205e-01
5.683872582380788963e-01,-3.414074811686690358e-01,2.019458177778609698e-01
5.683628892923937581e-01,-3.441381581685319935e-01,2.000021398035025100e-01
5.684504190478893992e-01,-3.467267198420493912e-01,1.979082020024015010e-01
5.686272814261683628e-01,-3.491656067121143292e-01,1.956657450584046165e-01
5.688736396357512159e-01,-3.514496231794144165e-01,1.932796790975970236e-01
5.691721446617075131e-01,-3.535756622653382086e-01,1.907574981425367300e-01
5.695077100288911121e-01,-3.555424512400953141e-01,1.881087597378746923e-01
5.698673020271873835e-01,-3.573503171467147244e-01,1.853446244743607585e-01
5.702397475184234343e-01,-3.590009751730227627e-01,1.824774474833734117e-01
5.706186858000913409e-01,-3.605027891885529967e-01,1.795152614056048646e-01
5.710928996241514399e-01,-3.621079675214354809e-01,1.761819857009827572e-01
5.715426400101045745e-01,-3.638376296520797748e-01,1.722730812658070376e-01
5.718094735847978338e-01,-3.653055474611535125e-01,1.682098345013096075e-01
5.719187823478012467e-01,-3.665361916035946854e-01,1.640541545923130673e-01
5.718939753635249312e-01,-3.675544668291384487e-01,1.598570334311727181e-01
5.717560850779034309e-01,-3.683833700358887797e-01,1.556620706405255350e-01
5.715239427611322753e-01,-3.690440769513363417e-01,1.515062124225496631e-01
5.712143467386544549e-01,-3.695560317761338864e-01,1.474204368387373454e-01
5.708422230205815184e-01,-3.699370385152835339e-01,1.434303876524379573e-01
5.704207780643110182e-01,-3.702033529315895688e-01,1.395569589498215912e-01
5.699616435150915983e-01,-3.703697742127826098e-01,1.358168328534880287e-01
5.694750128639143316e-01,-3.704497355844957318e-01,1.322229727060386661e-01
5.689697700428737459e-01,-3.704553932274252115e-01,1.287850741333792515e-01
5.684536100464439023e-01,-3.703977129696482407e-01,1.255099764037050369e-01
5.679331517242384164e-01,-3.702865543252517044e-01,1.224020364819775747e-01
5.674140429379704864e-01,-3.701307515391644709e-01,1.194634681447750285e-01
