time,fext_field.header.seq,fext_field.header.stamp,fext_field.header.frame_id,fext_field.wrench.force.x,fext_field.wrench.force.y,fext_field.wrench.force.z,fext_field.wrench.torque.x,fext_field.wrench.torque.y,fext_field.wrench.torque.z,eevel_field.linear.x,eevel_field.linear.y,eevel_field.linear.z,eevel_field.angular.x,eevel_field.angular.y,eevel_field.angular.z,eepose_field.position.x,eepose_field.position.y,eepose_field.position.z,eepose_field.orientation.x,eepose_field.orientation.y,eepose_field.orientation.z,eepose_field.orientation.w,twist_cmd_field.linear.x,twist_cmd_field.linear.y,twist_cmd_field.linear.z,twist_cmd_field.angular.x,twist_cmd_field.angular.y,twist_cmd_field.angular.z,Dmat_field.layout.data_offset,Dmat_field.data0,Dmat_field.data1,Dmat_field.data2,Dmat_field.data3,Dmat_field.data4,Dmat_field.data5,Dmat_field.data6,Dmat_field.data7,Dmat_field.data8,eigval0_field.data
10876000000.0,3611,10873000000,panda_K,0.0531315238210172,-0.0101424456907784,-0.0249288437889899,0.0669140586990075,0.1106672616594801,-0.0301855960596377,0.0011682074433042,0.0013102412205493,-0.0047830225117729,-8.694680896107023e-05,-0.0035952659197878,-0.0003969414836463,0.5306424204776292,0.0183057957330273,0.341437130184506,0.9994736922452326,-0.0300694040895077,0.0115426009489717,-0.0031840929045555,-0.2578134731892121,-0.452773633011796,0.6009403219595425,-0.0,-0.0,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1000000014901161
10876000000.0,3612,10876000000,panda_K,0.0531318558840752,-0.0101414895223916,-0.0249277530180554,0.0669143571521409,0.1106688478489985,-0.0301830818333711,0.0011682074433042,0.0013102412205493,-0.0047830225117729,-8.694680896107023e-05,-0.0035952659197878,-0.0003969414836463,0.5306424204776292,0.0183057957330273,0.341437130184506,0.9994736922452326,-0.0300694040895077,0.0115426009489717,-0.0031840929045555,-0.2578134731892121,-0.452773633011796,0.6009403219595425,-0.0,-0.0,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1000000014901161
10879000000.0,3613,10879000000,panda_K,0.0531321876354905,-0.0101405342664029,-0.0249266624243832,0.0669146555854266,0.1106704343473205,-0.0301805675173235,0.0011682897174077,0.0013102890232707,-0.0047830475531801,-8.661106920851246e-05,-0.0035952533591601,-0.0003965549182217,0.5306489389781599,0.0183057956857023,0.3414298242924533,0.9994736922112464,-0.0300694053075719,0.0115426008619712,-0.0031840923851377,-0.2578134731892121,-0.452773633011796,0.6009403219595425,-0.0,-0.0,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1000000014901161
10882000000.0,3614,10882000000,panda_K,0.0531325190754949,-0.0101395799217982,-0.0249255720086079,0.0669149539994155,0.1106720211513116,-0.0301780531106915,0.0011683719405933,0.0013103370359092,-0.0047830725624208,-8.627536819472484e-05,-0.003595240758814,-0.0003961684091902,0.530655457361284,0.0183057951859524,0.3414225181226636,0.9994736921772966,-0.0300694065242782,0.0115426007752071,-0.0031840918661352,-0.2578134731892121,-0.452773633011796,0.6009403219595425,-0.0,-0.0,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1000000014901161
10885000000.0,3615,10885000000,panda_K,0.0531328502041958,-0.0101386264873317,-0.024924481770031,0.0669152523950307,0.1106736082606386,-0.0301755386144015,0.0011684541129582,0.001310385257938,-0.0047830975395423,-8.59397062330358e-05,-0.0035952281188674,-0.0003957819566032,0.5306619756268548,0.0183057942344678,0.3414152116752921,0.9994736921433836,-0.0300694077396281,0.0115426006886827,-0.0031840913475466,-0.2578134731892121,-0.452773633011796,0.6009403219595425,-0.0,-0.0,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1000000014901161
10888000000.0,3616,10888000000,panda_K,0.0531331810224578,-0.0101376739612987,-0.0249233917091897,0.0669155507694062,0.11067519567664,-0.0301730240272116,0.0011685362344235,0.001310433689105,-0.0047831224845764,-8.560408304194168e-05,-0.0035952154389948,-0.0003953955602836,0.5306684937747228,0.0183057928319379,0.3414079049504907,0.9994736921095076,-0.0300694089536229,0.0115426006023956,-0.0031840908293723,-0.2578134731892121,-0.452773633011796,0.6009403219595425,-0.0,-0.0,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1000000014901161
10891000000.0,3617,10891000000,panda_K,0.053133511529746,-0.0101367223431558,-0.0249223018256922,0.066915849127471,0.1106767833995664,-0.0301705093506909,0.0011686183051173,0.0013104823290197,-0.0047831473975061,-8.52684986923848e-05,-0.0035952027194873,-0.0003950092203633,0.5306750118047409,0.0183057909790503,0.3414005979484138,0.9994736920756676,-0.0300694101662656,0.0115426005163493,-0.0031840903116126,-0.2578134731892121,-0.452773633011796,0.6009403219595425,-0.0,-0.0,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1000000014901161
10894000000.0,3618,10894000000,panda_K,0.0531338417270098,-0.0101357716311357,-0.0249212121197379,0.0669161474650663,0.1106783714275543,-0.0301679945836964,0.0011687003249822,0.0013105311773029,-0.0047831722784402,-8.49329532423305e-05,-0.0035951899599791,-0.000394622936761,0.530681529716759,0.0183057886764921,0.3413932906692126,0.9994736920418648,-0.0300694113775562,0.0115426004305408,-0.003184089794266,-0.2578134731892121,-0.452773633011796,0.6009403219595425,-0.0,-0.0,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1000000014901161
10897000000.0,3619,10897000000,panda_K,0.0531341716140514,-0.0101348218240686,-0.0249201225908998,0.066916445784287,0.1106799597604111,-0.0301654797256503,0.0011687822942226,0.0013105802335708,-0.0047831971274074,-8.459744658951913e-05,-0.0035951771610229,-0.000394236709481,0.53068804751063,0.0183057859249462,0.3413859831130407,0.9994736920080982,-0.0300694125874997,0.0115426003449704,-0.0031840892773331,-0.2578134731892121,-0.452773633011796,0.6009403219595425,-0.0,-0.0,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1000000014901161
10900000000.0,3620,10900000000,panda_K,0.0531345011909297,-0.0101338729209731,-0.024919033239199,0.0669167440856211,0.1106815483982471,-0.0301629647783729,0.0011688642126946,0.0013106294974519,-0.0047832219442987,-8.426197882559198e-05,-0.003595164322017,-0.0003938505385735,0.5306945651862054,0.0183057827250996,0.3413786752800509,0.999473691974368,-0.0300694137960945,0.0115426002596379,-0.003184088760812,-0.2578134731892121,-0.452773633011796,0.6009403219595425,-0.0,-0.0,-0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1000000014901161
