%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
120146000000,0.5893442465112936,-0.095507846343112,0.18275020192703,0.7071093554896634,0.7070970711631409,0.0004939887563253888,-0.000507327551622737
120159000000,0.5893428789296451,-0.09551148365558582,0.1827509130455878,0.7071092936764206,0.7070971361343452,0.0004914095790948053,-0.0005054271282465603
120159000000,0.5893428842546469,-0.09551147777730654,0.18275092207543092,0.7071092940962392,0.7070971357126352,0.000491413414152827,-0.0005054260465009837
120159000000,0.5893428870554248,-0.0955114739630116,0.18275092652253244,0.7071092941997468,0.7070971356062009,0.0004914166378909607,-0.0005054270071411363
120162000000,0.5893428898384101,-0.09551146990888201,0.1827509309874133,0.707109294271997,0.7070971355310275,0.0004914197004395225,-0.0005054281196625944
120166000000,0.5893450773835185,-0.09551000688646544,0.1827555342125743,0.7071104311421949,0.7070959945759847,0.0004961300421585618,-0.0005065405251430729
120167000000,0.5893428954062331,-0.09551146151821212,0.18275094015998727,0.707109294370038,0.7070971354279506,0.0004914249691055488,-0.0005054300420959221
120170000000,0.5893428982054909,-0.09551145719692927,0.18275094478746584,0.707109294389313,0.7070971354063897,0.0004914272967760982,-0.0005054309770907668
120173000000,0.589342901029234,-0.09551145278759025,0.18275094944384646,0.7071092943887957,0.7070971354047341,0.0004914294762735485,-0.0005054318980265591
120176000000,0.5893429038715525,-0.09551144831063951,0.1827509541258157,0.7071092943721857,0.7070971354193308,0.0004914314708261531,-0.00050543277533001
120179000000,0.5893429067180886,-0.09551144379071512,0.1827509588263634,0.7071092943420187,0.7070971354476807,0.0004914332435583686,-0.0005054335935997394
120183000000,0.5893429095801559,-0.09551143922734638,0.18275096355176437,0.7071092943027919,0.7070971354852619,0.0004914348387420853,-0.0005054343448594621
120190000000,0.5893429153545537,-0.09551142997216445,0.1827509730521676,0.7071092942024055,0.7070971355827842,0.0004914375844752853,-0.0005054356816607228
120193000000,0.5893451030531396,-0.09550996625534114,0.1827555765303992,0.7071104309121408,0.707095994789916,0.0004961458133230573,-0.0005065475846505383
120195000000,0.5893451059690877,-0.09550996153097811,0.18275558131325256,0.7071104308450432,0.7070959948559375,0.0004961467950980433,-0.0005065481252179815
120219000000,0.5893442922604003,-0.09550777508819447,0.18275028265614573,0.7071093558086813,0.7070970708212281,0.0004940092050553129,-0.0005073395512298798
120219000000,0.5893442848342757,-0.09550776296907207,0.18275028664979964,0.7071093553012284,0.7070970713352207,0.0004939787500698676,-0.0005073600885869445
120219000000,0.5893450922335418,-0.09550993780609811,0.1827555859891617,0.7071104299566657,0.7070959957553106,0.0004960932300322141,-0.0005065852388886265
120225000000,0.5893450898376698,-0.095509935512926,0.18275558378653306,0.7071104300042144,0.7070959957091455,0.0004960877479868682,-0.0005065886759923954
120226000000,0.5893450873949869,-0.09550993332049346,0.18275558110646112,0.7071104300690784,0.7070959956456133,0.0004960826562347915,-0.0005065918032004897
120228000000,0.5893450849181284,-0.09550993122869945,0.18275557797489106,0.7071104301447642,0.7070959955712157,0.0004960779409073881,-0.0005065946225579127
120233000000,0.5893450824121028,-0.0955099292230342,0.18275557443671697,0.707110430230905,0.7070959954863119,0.0004960735908071272,-0.0005065971553797781
120240000000,0.5893450798767101,-0.09550992729167694,0.18275557052276223,0.7071104303254204,0.707095995392985,0.00049606957169076,-0.0005065994318573207
120241000000,0.5893450747355733,-0.09550992363571513,0.18275556166592039,0.7071104305323804,0.7070959951882854,0.0004960624292041021,-0.0005066032705313578
120245000000,0.5893450721378412,-0.09550992190083414,0.18275555677499294,0.7071104306420227,0.7070959950797143,0.0004960592748011224,-0.0005066048637669783
120247000000,0.5893450695218974,-0.09550992021764489,0.1827555516071288,0.7071104307541796,0.7070959949685836,0.0004960563731541704,-0.0005066062726560706
120250000000,0.5893450668973266,-0.09550991858452537,0.18275554618570006,0.7071104308672157,0.7070959948565377,0.0004960537107433037,-0.0005066074969644613
120255000000,0.5893450642605893,-0.09550991699766345,0.1827555405247228,0.707110430980832,0.7070959947438761,0.0004960512646663123,-0.0005066085599551585
120257000000,0.5893442472263308,-0.09550773344517242,0.18275023005383373,0.7071093564988922,0.7070970701552699,0.0004939170498199101,-0.000507395473207994
120261000000,0.5893442445669211,-0.0955077319495915,0.18275022391209048,0.7071093566112642,0.7070970700437592,0.0004939150576563052,-0.000507396212305309
120262000000,0.5893442419057472,-0.09550773049172592,0.18275021758965065,0.7071093567220129,0.7070970699338438,0.0004939132388912564,-0.0005073968216967465
120266000000,0.5893442392348055,-0.09550772906726095,0.1827502110983769,0.707109356831231,0.7070970698254264,0.0004939115752548038,-0.0005073973257308605
120269000000,0.589344237548254,-0.09550772847178066,0.18275020561789257,0.7071093567318728,0.7070970699276337,0.0004939101090701587,-0.0005073947820743845
120271000000,0.5893442373703178,-0.09550772951872878,0.1827502012332267,0.7071093565155625,0.7070970701501924,0.0004939079844133407,-0.000507388142074252
120275000000,0.5893442373724159,-0.09550773153842979,0.18275019719334,0.7071093563590006,0.7070970703146322,0.0004939051328208262,-0.0005073799386953455
120278000000,0.5893442376788429,-0.09550773413465659,0.18275019443573645,0.7071093562555514,0.7070970704264797,0.0004939024739743276,-0.0005073708221220618
120280000000,0.5893442381197495,-0.09550773705817753,0.18275019239966966,0.7071093561955171,0.7070970704948386,0.0004938996671520994,-0.0005073619524909388
120283000000,0.5893442385468285,-0.09550774020831629,0.18275019080015958,0.707109356181137,0.707097070517207,0.0004938967493186502,-0.0005073536597152388
