%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
85709000000,28515,85707000000,panda_K,0.029683362576756925,-0.006939292680867744,0.02478918262931756,-0.03511414738572964,0.09667235098227749,-0.02974703485046913
85710000000,28516,85710000000,panda_K,0.02968537632780261,-0.0069391443898822736,0.024793278187936064,-0.035115307395416614,0.09667151413445711,-0.029748175026110216
85713000000,28517,85713000000,panda_K,0.029687386270837203,-0.006938996069200967,0.024797369818433158,-0.035116468401639164,0.09667067692241015,-0.029749316065217864
85716000000,28518,85716000000,panda_K,0.0296893924220539,-0.006938847718637557,0.024801457523439197,-0.03511763040395022,0.09666983934793823,-0.0297504579650577
85719000000,28519,85719000000,panda_K,0.029691394795238028,-0.006938699338481666,0.024805541305789228,-0.03511879339753746,0.09666900140867005,-0.029751600725431614
85722000000,28520,85722000000,panda_K,0.029693393406277725,-0.006938550928343154,0.024809621167364213,-0.035119957383365964,0.09666816310539918,-0.029752744344489556
85725000000,28521,85725000000,panda_K,0.029695388270087372,-0.006938402488431646,0.02481369711166874,-0.03512112235812813,0.09666732443960077,-0.029753888820496843
85728000000,28522,85728000000,panda_K,0.029697379400934424,-0.0069382540190145725,0.02481776914031915,-0.03512228831844354,0.09666648541054887,-0.029755034153660233
85731000000,28523,85731000000,panda_K,0.029699366814051806,-0.0069381055202100625,0.024821837255775654,-0.03512345526292042,0.09666564602105476,-0.029756180343375172
85734000000,28524,85734000000,panda_K,0.029701350523156474,-0.006937956991824291,0.024825901461366446,-0.03512462318948824,0.09666480626868909,-0.029757327387538286
85737000000,28525,85737000000,panda_K,0.02970333054414876,-0.006937808433923692,0.024829961759075102,-0.03512579209632408,0.09666396615452716,-0.029758475284154894
85740000000,28526,85740000000,panda_K,0.02970530689109852,-0.006937659846513573,0.02483401815168299,-0.03512696198165643,0.09666312568018051,-0.02975962403338063
85743000000,28527,85743000000,panda_K,0.029707279578272433,-0.006937511229799437,0.02483807064196223,-0.035128132842969034,0.0966622848429927,-0.029760773633700992
85746000000,28528,85746000000,panda_K,0.02970924861938617,-0.006937362584040874,0.024842119232246485,-0.03512930467683165,0.09666144364555378,-0.029761924085258285
85749000000,28529,85749000000,panda_K,0.029711214029808395,-0.00693721390872841,0.024846163924698673,-0.03513047748412579,0.09666060208848612,-0.02976307538489925
85752000000,28530,85752000000,panda_K,0.02971317582352951,-0.006937065204152909,0.02485020472255915,-0.035131651260819484,0.096659760171075,-0.02976422753235021
85755000000,28531,85755000000,panda_K,0.029715134014528986,-0.006936916470934744,0.02485424162822003,-0.035132826003604956,0.09665891789548302,-0.029765380527473666
85758000000,28532,85758000000,panda_K,0.029717088616013645,-0.006936767708486051,0.02485827464457993,-0.03513400171278486,0.09665807525803093,-0.029766534367635596
85761000000,28533,85761000000,panda_K,0.02971903964362183,-0.006936618917093809,0.024862303773370786,-0.03513517838551798,0.09665723226388326,-0.029767689052964886
85764000000,28534,85764000000,panda_K,0.029720987109884005,-0.0069364700969072116,0.02486632901896234,-0.03513635601890776,0.09665638890909582,-0.029768844581398234
85767000000,28535,85767000000,panda_K,0.029722931029271468,-0.006936321247873002,0.024870350382096992,-0.0351375346133464,0.09665554519770607,-0.02977000095352328
85770000000,28536,85770000000,panda_K,0.02972487141561936,-0.00693617237013866,0.02487436786639116,-0.035138714164733145,0.09665470112905515,-0.029771158164875872
85773000000,28537,85773000000,panda_K,0.029726808281833404,-0.006936023464098488,0.024878381474521732,-0.035139894669534495,0.0966538567013169,-0.029772316218487187
85776000000,28538,85776000000,panda_K,0.029728741642518774,-0.006935874529416394,0.02488239120855258,-0.035141076129179105,0.0966530119177596,-0.029773475110265776
85779000000,28539,85779000000,panda_K,0.029730671510992273,-0.006935725566322021,0.02488639707207866,-0.035142258539045956,0.0966521667757848,-0.02977463484039875
85782000000,28540,85782000000,panda_K,0.029732597900124773,-0.006935576575230251,0.024890399067139156,-0.03514344189820573,0.09665132127841755,-0.02977579540883549
85785000000,28541,85785000000,panda_K,0.02973452082389315,-0.006935427555653052,0.0248943971965067,-0.03514462620470028,0.09665047542420493,-0.02977695681137212
85788000000,28542,85788000000,panda_K,0.02973644029526708,-0.0069352785082910096,0.024898391463304994,-0.03514581145483454,0.09664962921502511,-0.029778119050351114
85791000000,28543,85791000000,panda_K,0.02973835632797553,-0.006935129432679217,0.024902381869850505,-0.03514699765042661,0.09664878265137117,-0.029779282123310047
85794000000,28544,85794000000,panda_K,0.02974026893454075,-0.00693498032972175,0.024906368418625764,-0.03514818478519307,0.09664793573078635,-0.02978044602919756
85797000000,28545,85797000000,panda_K,0.029742178129065468,-0.006934831198445346,0.024910351112918984,-0.0351493728610255,0.09664708845718206,-0.029781610764940864
85800000000,28546,85800000000,panda_K,0.029744083923673816,-0.006934682039911599,0.024914329955060946,-0.035150561872560965,0.096646240830168,-0.029782776332853828
85803000000,28547,85803000000,panda_K,0.029745986331628043,-0.006934532853873278,0.024918304948130646,-0.03515175181892337,0.0966453928481739,-0.02978394273051455
85806000000,28548,85806000000,panda_K,0.02974788536722242,-0.006934383640352829,0.024922276094635182,-0.03515294269956507,0.0966445445138333,-0.029785109955044707
85809000000,28549,85809000000,panda_K,0.02974978104066857,-0.006934234399713017,0.0249262433976157,-0.03515413451064384,0.09664369582481841,-0.029786278008322377
85812000000,28550,85812000000,panda_K,0.029751673366420255,-0.0069340851321369745,0.024930206859394528,-0.03515532725101958,0.09664284678465368,-0.02978744688853146
