%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
363386000000,0.002488339050659606,0.001610634802133337,0.003822051872894025,0.007642160311397788,-0.003897969854630644,-0.0027401007110354468
363386000000,-0.00027450221093283265,0.0022298252852209596,-0.0059215303661262365,-0.0026144635998997,0.00310933791101352,0.003098206861853676
363386000000,-0.0009451881457058607,-0.003560789487309546,-0.00011146762677016593,-0.005022400781893187,0.0007965968031962763,-0.00035654561678846166
363386000000,0.0024884789916211217,0.0016105966310098736,0.0038210661756272655,0.007642050441845778,-0.003897838780555257,-0.0027402189585419355
363386000000,-0.00027433651971875937,0.0022298357030028295,-0.005922529899424217,-0.002614584148155265,0.003109410573538034,0.0030983109327715848
363387000000,-0.0009449752108236011,-0.0035607331459288454,-0.00011230266358090135,-0.005022179583653842,0.0007963893920677859,-0.0003565359681921604
363388000000,0.0024886184773381843,0.0016105582853959738,0.0038200815136004624,0.007641940456657833,-0.003897707600662501,-0.0027403373051913663
363389000000,-0.0002741712718651898,0.0022298459908732435,-0.00592352839453956,-0.002614704769598742,0.003109483287047817,0.0030984151092103627
363390000000,-0.0009447626741319883,-0.0035606769023983336,-0.00011313652776647959,-0.005021958178621422,0.0007961817918476092,-0.000356526315702526
363391000000,0.00248875750933027,0.001610519765799063,0.003819097886187922,0.007641830356087114,-0.003897576314970654,-0.0027404557509654046
363392000000,-0.00027400646588029856,0.0022298561491822426,-0.005924525852151174,-0.0026148254641208666,0.0031095560515108714,0.0030985193910009214
363393000000,-0.0009445505340503074,-0.003560620756611843,-0.00011396922034825136,-0.0050217365672644565,0.0007959740027264749,-0.0003565166595419799
363394000000,0.002488896089172997,0.0016104810725351753,0.0038181152926702712,0.007641720140143319,-0.003897444923630242,-0.0027405742956254685
363395000000,-0.0002738421002937983,0.0022298661780469106,-0.005925522272966017,-0.0026149462318071294,0.003109628867025329,0.003098623777900841
363396000000,-0.0009443387893310846,-0.0035605647084354193,-0.0001148007422837171,-0.005021514750032106,0.0007957660255126723,-0.0003565069996814339
363397000000,0.0024890342182271753,0.001610442205777578,0.0038171337321488375,0.007641609808647811,-0.003897313426387829,-0.0027406929390126488
363398000000,-0.0002736781736679978,0.002229876077902662,-0.0059265176577044535,-0.0026150670723937624,0.0031097017334805635,0.0030987282699073875
363399000000,-0.0009441274384204457,-0.00356050875726796,-0.00011563109424450404,-0.00502129272667691,0.0007955578598726021,-0.00035649733603431485
363400000000,0.0024891718981194704,0.0016104031661610813,0.003816153204090287,0.007641499362056491,-0.0038971818237679453,-0.002740811681092396
363401000000,-0.0002735146845094902,0.0022298858491066505,-0.00592751200702687,-0.0026151879856709413,0.0031097746509412775,0.00309883286683996
363402000000,-0.0009439164799259268,-0.003560452903198541,-0.00011646027732143148,-0.005021070498020169,0.0007953495065529911,-0.0003564876688928126
363403000000,0.002489309130256872,0.0016103639539632728,0.0038151737078419784,0.007641388800463891,-0.003897050115491573,-0.002740930521507596
363404000000,-0.0002733516312998668,0.0022298954919982386,-0.005928505321708997,-0.002615308971379629,0.003109847619196124,0.003098937568469398
363405000000,-0.0009437059125837345,-0.0035603971458152343,-0.00011728829248684744,-0.005020848064073549,0.000795140965939702,-0.00035647799820378223
363406000000,0.0024894459161145144,0.0016103245695060049,0.003814195242363261,0.0076412781238881745,-0.0038969183017119793,-0.002741049460258814
363407000000,-0.0002731890127059874,0.0022299050067508784,-0.005929497602355028,-0.0026154300297383344,0.003109920638430788,0.003099042374813038
