%time,field.data
364500000000,1.4493876881901012e-05
364502000000,2.9896012025701483e-05
364503000000,9.190211193077127e-06
364504000000,1.4490661614878176e-05
364505000000,2.9901611393765036e-05
364506000000,9.190111380885169e-06
364506000000,1.4487449656543955e-05
364508000000,2.990720508516864e-05
364509000000,9.190011774412535e-06
364510000000,1.4484241002425884e-05
364511000000,2.9912793106455857e-05
364512000000,9.189912370961724e-06
364513000000,1.4481035649273971e-05
364514000000,2.9918375462269755e-05
364515000000,9.18981316963228e-06
364516000000,1.4477833591832062e-05
364517000000,2.992395215792163e-05
364517000000,9.18971416738791e-06
364517000000,1.4474634826203775e-05
364520000000,2.9929523198577203e-05
364521000000,9.189615361460524e-06
364522000000,1.4471439348368747e-05
364523000000,2.9935088588278146e-05
364524000000,9.189516750646574e-06
364525000000,1.4468247154573105e-05
364526000000,2.9940648333723223e-05
364527000000,9.18941833264665e-06
364528000000,1.4465058240101751e-05
364529000000,2.9946202438627237e-05
364530000000,9.18932010443745e-06
364531000000,1.4461872600985192e-05
364532000000,2.995175090922932e-05
364533000000,9.189222064631553e-06
364534000000,1.4458690232595907e-05
364535000000,2.995729374988408e-05
364536000000,9.18912421075227e-06
364537000000,1.4455511130916719e-05
364538000000,2.996283096524817e-05
364539000000,9.189026540375632e-06
364540000000,1.4452335292408458e-05
364541000000,2.9968362561961517e-05
364542000000,9.188929051504549e-06
364543000000,1.4449162712016786e-05
364544000000,2.9973888543648627e-05
364545000000,9.188831742531773e-06
364546000000,1.4445993386770144e-05
364547000000,2.9979408915592863e-05
364548000000,9.188734610377848e-06
364549000000,1.444282731206064e-05
364550000000,2.998492368307528e-05
364551000000,9.188637653433731e-06
364552000000,1.4439664482891696e-05
364553000000,2.9990432852028223e-05
364554000000,9.18854086973436e-06
364555000000,1.4436504895318512e-05
364556000000,2.999593642584276e-05
364557000000,9.188444256444716e-06
364558000000,1.4433348546479353e-05
364559000000,3.0001434410857502e-05
364560000000,9.188347811892935e-06
364561000000,1.4430195431038898e-05
364562000000,3.0006926811608745e-05
364563000000,9.188251534095411e-06
364564000000,1.4427045545099668e-05
364565000000,3.0012413633625872e-05
364566000000,9.188155420530655e-06
364567000000,1.4423898885347013e-05
364568000000,3.0017894882006907e-05
364569000000,9.188059469255211e-06
364570000000,1.4420755445655865e-05
364571000000,3.0023370560574637e-05
364572000000,9.187963678177305e-06
364573000000,1.441761522425945e-05
364574000000,3.0028840675433138e-05
364575000000,9.187868045644738e-06
364576000000,1.441447821561194e-05
364577000000,3.0034305232432144e-05
364578000000,9.187772569133193e-06
364579000000,1.4411344415852956e-05
364580000000,3.0039764235172892e-05
364581000000,9.187677246631575e-06
364582000000,1.4408213821620869e-05
364583000000,3.00452176893508e-05
364584000000,9.187582075799045e-06
364585000000,1.4405086428076872e-05
364586000000,3.0050665599989426e-05
364587000000,9.187487055164277e-06
364588000000,1.4401962230358624e-05
364589000000,3.0056107971527452e-05
364590000000,9.187392181681699e-06
364591000000,1.4398841226023394e-05
364592000000,3.0061544810561732e-05
364593000000,9.187297454525345e-06
364594000000,1.43957234105073e-05
364595000000,3.0066976121364747e-05
364596000000,9.187202871365203e-06
364597000000,1.439260877920295e-05
