%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
120159000000,-4.067785925498946e-05,4.269102569759431e-06,3.1503846363689636e-05,0.0,0.0,0.0
120164000000,-4.068876801999188e-05,4.255355865956378e-06,3.148590453819211e-05,0.0,0.0,0.0
120174000000,-4.0699958843926076e-05,4.238234574197031e-06,3.146744810503255e-05,0.0,0.0,0.0
120184000000,-4.070850976578555e-05,4.224674330324807e-06,3.145334018711532e-05,0.0,0.0,0.0
120194000000,-4.2901982749476986e-05,2.7517023250822614e-06,2.6840361552288305e-05,0.0,0.0,0.0
120207000000,-4.290489869762659e-05,2.746977962056474e-06,2.6835578698924945e-05,0.0,0.0,0.0
120216000000,-4.290489869762659e-05,2.746977962056474e-06,2.6835578698924945e-05,0.0,0.0,0.0
120224000000,-4.2891163151703715e-05,2.7232530820514578e-06,2.6830902789792832e-05,0.0,0.0,0.0
120235000000,-4.28813417127083e-05,2.714670018139076e-06,2.6842455234515894e-05,0.0,0.0,0.0
120245000000,-4.287366518318514e-05,2.7090826990733285e-06,2.6855226031102797e-05,0.0,0.0,0.0
120256000000,-4.2863190199193824e-05,2.702444647395552e-06,2.6876367228700904e-05,0.0,0.0,0.0
120266000000,-4.204083535708225e-05,5.15938709866326e-07,3.219930230083379e-05,0.0,0.0,0.0
120274000000,-4.203629992771685e-05,5.14965712725135e-07,3.2215658724799034e-05,0.0,0.0,0.0
120284000000,-4.2037476438383514e-05,5.256553002319642e-07,3.222609179190372e-05,0.0,0.0,0.0
120310000000,-4.203877168518222e-05,5.359019424056033e-07,3.222736414074112e-05,0.0,0.0,0.0
120310000000,-4.067006663999173e-05,4.191079166729339e-06,3.151635859532931e-05,0.0,0.0,0.0
120314000000,-4.067163741572344e-05,4.196586323140794e-06,3.1511745328310914e-05,0.0,0.0,0.0
120324000000,-4.0679784170882805e-05,4.191422061719519e-06,3.149991018250309e-05,0.0,0.0,0.0
120334000000,-4.068651011390756e-05,4.183364509760534e-06,3.148948045350597e-05,0.0,0.0,0.0
120344000000,-4.287579404405051e-05,2.718572500046146e-06,2.6883583032599745e-05,0.0,0.0,0.0
120354000000,-4.2878874405793965e-05,2.7069428700232656e-06,2.6871099808284393e-05,0.0,0.0,0.0
120364000000,-4.068648046617884e-05,4.157575207094921e-06,3.1467783154548457e-05,0.0,0.0,0.0
120374000000,-4.2869841175630086e-05,2.692270714352296e-06,2.6872361250457333e-05,0.0,0.0,0.0
120383000000,-4.286981510004395e-05,2.6848627078801535e-06,2.6873235813185126e-05,0.0,0.0,0.0
120394000000,-4.285998174724526e-05,2.678174802511757e-06,2.6883200064969914e-05,0.0,0.0,0.0
120404000000,-4.285206624821125e-05,2.673956779566944e-06,2.6894920319403548e-05,0.0,0.0,0.0
120414000000,-4.202962305444036e-05,4.883562923774232e-07,3.221368655248469e-05,0.0,0.0,0.0
120424000000,-4.20257895408227e-05,4.892619695495704e-07,3.222625650425859e-05,0.0,0.0,0.0
120434000000,-4.2026526912763984e-05,4.980663082243542e-07,3.223171875493813e-05,0.0,0.0,0.0
120447000000,-4.0657494269957795e-05,4.149187198029813e-06,3.152636132475184e-05,0.0,0.0,0.0
120454000000,-4.2844582581635926e-05,2.7038202292384295e-06,2.6922692387271185e-05,0.0,0.0,0.0
120465000000,-4.2844582581635926e-05,2.7038202292384295e-06,2.6922692387271185e-05,0.0,0.0,0.0
120474000000,-4.202006404807612e-05,5.187722605104472e-07,3.222657648380145e-05,0.0,0.0,0.0
120484000000,-4.2015839228026763e-05,5.210930232868449e-07,3.223045514530454e-05,0.0,0.0,0.0
120496000000,-4.201613925913783e-05,5.311564660465118e-07,3.2228846256171506e-05,0.0,0.0,0.0
120504000000,-4.2016824831403454e-05,5.430852968446587e-07,3.22234996793791e-05,0.0,0.0,0.0
120514000000,-4.20175978941284e-05,5.600471291306031e-07,3.221172891126889e-05,0.0,0.0,0.0
120529000000,-4.20181990329338e-05,5.822898809654253e-07,3.219146470287426e-05,0.0,0.0,0.0
120534000000,-4.064801098024873e-05,4.227454899113914e-06,3.1479781310100874e-05,0.0,0.0,0.0
120544000000,-4.201890205979275e-05,5.994132406539343e-07,3.2172205236630225e-05,0.0,0.0,0.0
120554000000,-4.0653634423404306e-05,4.24277863994571e-06,3.144437990995619e-05,0.0,0.0,0.0
120567000000,-4.2840129960697304e-05,2.7910886821747027e-06,2.6829695829427846e-05,0.0,0.0,0.0
120574000000,-4.2032720599105566e-05,6.044660173509797e-07,3.211451258303133e-05,0.0,0.0,0.0
120584000000,-4.0659651999064295e-05,4.243955131322252e-06,3.139638055371652e-05,0.0,0.0,0.0
120598000000,-4.2844458217228265e-05,2.7910368810835084e-06,2.678924711529973e-05,0.0,0.0,0.0
120604000000,-4.0664637829257444e-05,4.242120237737956e-06,3.1368067288761736e-05,0.0,0.0,0.0
120615000000,-4.2846528127138406e-05,2.7802812738592086e-06,2.676598910708594e-05,0.0,0.0,0.0
120630000000,-4.066118786028028e-05,4.225580323327649e-06,3.135430954262497e-05,0.0,0.0,0.0
120634000000,-4.065846111478422e-05,4.224167000660417e-06,3.135527964745477e-05,0.0,0.0,0.0
120644000000,-4.066207323005777e-05,4.213970644637022e-06,3.135412510024693e-05,0.0,0.0,0.0
120654000000,-4.285340871568177e-05,2.7452184156867565e-06,2.6752348000452786e-05,0.0,0.0,0.0
120665000000,-4.2855338806102594e-05,2.7360106319290756e-06,2.674900832935756e-05,0.0,0.0,0.0
120674000000,-4.2846137023322406e-05,2.7276118870767085e-06,2.6754404900464213e-05,0.0,0.0,0.0
120684000000,-4.2024089764169936e-05,5.40352636357877e-07,3.2067476097269454e-05,0.0,0.0,0.0
120688000000,-4.2020568215783705e-05,5.387610845924984e-07,3.207394397644614e-05,0.0,0.0,0.0
120712000000,-4.2020568215783705e-05,5.387610845924984e-07,3.207394397644614e-05,0.0,0.0,0.0
120714000000,-4.0652184957745696e-05,4.198153450638009e-06,3.137169280084673e-05,0.0,0.0,0.0
120724000000,-4.0654612343926644e-05,4.205528126119407e-06,3.136669434000705e-05,0.0,0.0,0.0
120735000000,-4.066309651917788e-05,4.198588214668342e-06,3.1356816259014986e-05,0.0,0.0,0.0
120744000000,-4.067237996963069e-05,4.186510982148728e-06,3.134456333023228e-05,0.0,0.0,0.0
120754000000,-4.0679760400008647e-05,4.176023360683012e-06,3.133418905779117e-05,0.0,0.0,0.0
120764000000,-4.0687424612495526e-05,4.16472752570729e-06,3.1323057010063104e-05,0.0,0.0,0.0
120775000000,-4.0698001901762204e-05,4.148711426441021e-06,3.130736017945002e-05,0.0,0.0,0.0
120783000000,-4.070341770168184e-05,4.140379255529458e-06,3.129924224265501e-05,0.0,0.0,0.0
120787000000,-4.289069767726694e-05,2.677144335799797e-06,2.6696869976694515e-05,0.0,0.0,0.0
120804000000,-4.208953212148092e-05,4.696887808269823e-07,3.19756442049568e-05,0.0,0.0,0.0
120814000000,-4.2087979593263825e-05,4.6568685257986075e-07,3.196966351634578e-05,0.0,0.0,0.0
120825000000,-4.2089881949092245e-05,4.7091725020875774e-07,3.196070742630952e-05,0.0,0.0,0.0
120832000000,-4.290546747787172e-05,2.6625072921532267e-06,2.664518061665233e-05,0.0,0.0,0.0
120844000000,-4.209091407236798e-05,4.896142285770733e-07,3.193651849323076e-05,0.0,0.0,0.0
120854000000,-4.289993937456327e-05,2.6759747299709424e-06,2.6626996746881293e-05,0.0,0.0,0.0
120866000000,-4.208163385321928e-05,5.005749172115603e-07,3.192447065167303e-05,0.0,0.0,0.0
120874000000,-4.2888537421625905e-05,2.6856679352926793e-06,2.6622385232905055e-05,0.0,0.0,0.0
120884000000,-4.288297306409561e-05,2.6908134019565377e-06,2.6623497961092424e-05,0.0,0.0,0.0
120894000000,-4.0688203385985666e-05,4.148192700434428e-06,3.122968861077324e-05,0.0,0.0,0.0
120904000000,-4.20568783352504e-05,5.058685390579853e-07,3.1941758855402735e-05,0.0,0.0,0.0
120919000000,-4.068951322089287e-05,4.145477185163449e-06,3.123848801886431e-05,0.0,0.0,0.0
120924000000,-4.205987489680485e-05,5.08038177957082e-07,3.194392284958103e-05,0.0,0.0,0.0
120934000000,-4.069128484895934e-05,4.1685977779509775e-06,3.122885539225129e-05,0.0,0.0,0.0
120944000000,-4.287716195339186e-05,2.719294399711192e-06,2.6622998113373653e-05,0.0,0.0,0.0
120953000000,-4.206405324025386e-05,5.36540738810265e-07,3.1920245264632774e-05,0.0,0.0,0.0
120955000000,-4.20573344237507e-05,5.383125597363536e-07,3.191755099599125e-05,0.0,0.0,0.0
120976000000,-4.205710658800044e-05,5.484689845625113e-07,3.191178546341211e-05,0.0,0.0,0.0
120984000000,-4.205717592076219e-05,5.647715381335017e-07,3.190042336467802e-05,0.0,0.0,0.0
120999000000,-4.0686726607064294e-05,4.222853868154908e-06,3.1179064432756975e-05,0.0,0.0,0.0
121004000000,-4.068707126281268e-05,4.2305597263286865e-06,3.1170902931504374e-05,0.0,0.0,0.0
121014000000,-4.069342797352604e-05,4.228552882831749e-06,3.1154163342567154e-05,0.0,0.0,0.0
121027000000,-4.2883234302015794e-05,2.7636052781915277e-06,2.6543292719616307e-05,0.0,0.0,0.0
121037000000,-4.288668810048524e-05,2.7584669131386352e-06,2.653512798073132e-05,0.0,0.0,0.0
121044000000,-4.206336811451994e-05,5.702315510475175e-07,3.18329665910666e-05,0.0,0.0,0.0
121054000000,-4.0688611757433435e-05,4.210984089439429e-06,3.1127469211383874e-05,0.0,0.0,0.0
121067000000,-4.287728957819148e-05,2.7539493302891627e-06,2.6524460684379525e-05,0.0,0.0,0.0
121075000000,-4.287729417440378e-05,2.7502928787725978e-06,2.65229601560113e-05,0.0,0.0,0.0
121084000000,-4.068417012936809e-05,4.203111189746145e-06,3.11245384599923e-05,0.0,0.0,0.0
121095000000,-4.205350809505237e-05,5.566153360309078e-07,3.183629920491815e-05,0.0,0.0,0.0
121098000000,-4.205721829497744e-05,5.540769534989609e-07,3.183620570898493e-05,0.0,0.0,0.0
121098000000,-4.205721829497744e-05,5.540769534989609e-07,3.183620570898493e-05,0.0,0.0,0.0
121124000000,-4.2059217075007815e-05,5.710674624015422e-07,3.182723353636896e-05,0.0,0.0,0.0
121136000000,-4.2059217075007815e-05,5.710674624015422e-07,3.182723353636896e-05,0.0,0.0,0.0
121143000000,-4.2059217075007815e-05,5.710674624015422e-07,3.182723353636896e-05,0.0,0.0,0.0
121154000000,-4.2059217075007815e-05,5.710674624015422e-07,3.182723353636896e-05,0.0,0.0,0.0
121164000000,-4.0690014462829716e-05,4.267878851341167e-06,3.106957204657146e-05,0.0,0.0,0.0
121175000000,-4.0692676656073345e-05,4.273173685162557e-06,3.105614212439711e-05,0.0,0.0,0.0
121184000000,-4.288208070146737e-05,2.8102962795623077e-06,2.644458662584559e-05,0.0,0.0,0.0
121194000000,-4.2880929007171886e-05,2.8050710820515246e-06,2.6435373271016527e-05,0.0,0.0,0.0
121204000000,-4.068682450675265e-05,4.258570225179614e-06,3.103201680113021e-05,0.0,0.0,0.0
121214000000,-4.0684456960926596e-05,4.253397677858595e-06,3.103452098812687e-05,0.0,0.0,0.0
121224000000,-4.068781887245354e-05,4.248187400385239e-06,3.1033948850706095e-05,0.0,0.0,0.0
121235000000,-4.0696083749014456e-05,4.2355555298911884e-06,3.103019515107719e-05,0.0,0.0,0.0
121244000000,-4.207231652608723e-05,5.868577748618931e-07,3.173139647125178e-05,0.0,0.0,0.0
121254000000,-4.2894381948155313e-05,2.756826060296147e-06,2.6418796154614732e-05,0.0,0.0,0.0
121264000000,-4.207871988515244e-05,5.768362427160945e-07,3.171558441730782e-05,0.0,0.0,0.0
121274000000,-4.2074607350839344e-05,5.763064532815498e-07,3.171493855325114e-05,0.0,0.0,0.0
121284000000,-4.207519162791051e-05,5.866660091891074e-07,3.170908997954247e-05,0.0,0.0,0.0
121291000000,-4.2075627788129566e-05,5.932760393512204e-07,3.170455619264101e-05,0.0,0.0,0.0
121301000000,-4.2889476415064465e-05,2.7880403738606008e-06,2.6392003825398413e-05,0.0,0.0,0.0
121320000000,-4.207637033493139e-05,6.193480148186659e-07,3.168280746504437e-05,0.0,0.0,0.0
121324000000,-4.206974617992909e-05,6.274111460369269e-07,3.167522841088233e-05,0.0,0.0,0.0
121342000000,-4.069838035747342e-05,4.278453952802352e-06,3.0962111664006864e-05,0.0,0.0,0.0
121346000000,-4.28838319268543e-05,2.828099108842519e-06,2.635576213916302e-05,0.0,0.0,0.0
121354000000,-4.207272244860505e-05,6.452354545660732e-07,3.165362891363599e-05,0.0,0.0,0.0
121364000000,-4.206730190781105e-05,6.430326109363449e-07,3.164676717384851e-05,0.0,0.0,0.0
121374000000,-4.20666833730321e-05,6.520355478878415e-07,3.164100274802295e-05,0.0,0.0,0.0
121384000000,-4.287965315874498e-05,2.8514086979070097e-06,2.6326056956849087e-05,0.0,0.0,0.0
121410000000,-4.287399115421309e-05,2.8583397420484102e-06,2.6321297697834423e-05,0.0,0.0,0.0
121410000000,-4.2870919435000765e-05,2.8587666165286185e-06,2.632150682327361e-05,0.0,0.0,0.0
121418000000,-4.203974994676507e-05,6.762891954226191e-07,3.1635894953058186e-05,0.0,0.0,0.0
121424000000,-4.202996911650825e-05,6.752279726046639e-07,3.1648547818036166e-05,0.0,0.0,0.0
121434000000,-4.065727264102037e-05,4.32672934827516e-06,3.095241707182228e-05,0.0,0.0,0.0
121444000000,-4.284235273654957e-05,2.8731647304380825e-06,2.6357443523056245e-05,0.0,0.0,0.0
121454000000,-4.28411595524425e-05,2.868968246694248e-06,2.636098419658839e-05,0.0,0.0,0.0
121463000000,-4.283220797973719e-05,2.866185758954032e-06,2.6370706355832718e-05,0.0,0.0,0.0
121463000000,-4.2829150185941245e-05,2.865263359116965e-06,2.637478112935132e-05,0.0,0.0,0.0
121484000000,-4.281054514498894e-05,2.859726561568743e-06,2.640738168616097e-05,0.0,0.0,0.0
121494000000,-4.199001994820151e-05,6.759922487331593e-07,3.172503770820789e-05,0.0,0.0,0.0
121504000000,-4.279521852479373e-05,2.8597709337691013e-06,2.6450988363596606e-05,0.0,0.0,0.0
121514000000,-4.197859398280546e-05,6.823161058655547e-07,3.1764036047071675e-05,0.0,0.0,0.0
121520000000,-4.1972569923554026e-05,6.863243852545109e-07,3.178247701748904e-05,0.0,0.0,0.0
121531000000,-4.1972777313659115e-05,6.962194309678704e-07,3.178888350122144e-05,0.0,0.0,0.0
121544000000,-4.060317233500754e-05,4.348001054449435e-06,3.1085354974730306e-05,0.0,0.0,0.0
121554000000,-4.060508817282926e-05,4.356169181540803e-06,3.108356562336878e-05,0.0,0.0,0.0
121564000000,-4.2797216549095296e-05,2.8913085739212807e-06,2.6480412336576942e-05,0.0,0.0,0.0
121573000000,-4.19862838160201e-05,7.063098869941609e-07,3.1780178322671215e-05,0.0,0.0,0.0
121585000000,-4.060769547942211e-05,4.340011210274275e-06,3.1077335944817985e-05,0.0,0.0,0.0
121595000000,-4.0610218345560334e-05,4.342397040224544e-06,3.107597456011857e-05,0.0,0.0,0.0
121604000000,-4.061452569059654e-05,4.33834350710427e-06,3.107350400169406e-05,0.0,0.0,0.0
121614000000,-4.199094189460961e-05,6.908657462917356e-07,3.177469855972226e-05,0.0,0.0,0.0
121624000000,-4.199094189460961e-05,6.908657462917356e-07,3.177469855972226e-05,0.0,0.0,0.0
121636000000,-4.281691455088055e-05,2.867428433597774e-06,2.644983743885221e-05,0.0,0.0,0.0
121644000000,-4.2000418310483845e-05,6.897431866631498e-07,3.1745139001532197e-05,0.0,0.0,0.0
121644000000,-7.618172585144046e-05,-0.10570870279832414,0.05845125148431743,-0.0,-0.0,-0.0
121650000000,-9.724836011182507e-05,-0.10570744946272916,0.05844722113071645,-0.0,-0.0,-0.0
