%time,field.data
363386000000,0.1
363386000000,0.1
363386000000,0.1
363386000000,0.1
363387000000,0.1
363388000000,0.1
363389000000,0.1
363390000000,0.1
363391000000,0.1
363392000000,0.1
363393000000,0.1
363394000000,0.1
363395000000,0.1
363396000000,0.1
363397000000,0.1
363398000000,0.1
363399000000,0.1
363400000000,0.1
363401000000,0.1
363402000000,0.1
363403000000,0.1
363404000000,0.1
363405000000,0.1
363406000000,0.1
363407000000,0.1
363408000000,0.1
363409000000,0.1
363410000000,0.1
363411000000,0.1
363412000000,0.1
363413000000,0.1
363414000000,0.1
363415000000,0.1
363416000000,0.1
363417000000,0.1
363418000000,0.1
363419000000,0.1
363420000000,0.1
363421000000,0.1
363422000000,0.1
363423000000,0.1
363424000000,0.1
363425000000,0.1
363426000000,0.1
363427000000,0.1
363428000000,0.1
363429000000,0.1
363430000000,0.1
363431000000,0.1
363432000000,0.1
363433000000,0.1
363434000000,0.1
363435000000,0.1
363436000000,0.1
363437000000,0.1
363438000000,0.1
363439000000,0.1
363440000000,0.1
363441000000,0.1
363442000000,0.1
363443000000,0.1
363444000000,0.1
363445000000,0.1
363446000000,0.1
363447000000,0.1
363448000000,0.1
363449000000,0.1
363450000000,0.1
363451000000,0.1
363452000000,0.1
363453000000,0.1
363454000000,0.1
363455000000,0.1
363456000000,0.1
363457000000,0.1
363458000000,0.1
363459000000,0.1
363460000000,0.1
363461000000,0.1
363462000000,0.1
363463000000,0.1
363464000000,0.1
363465000000,0.1
363466000000,0.1
363467000000,0.1
363468000000,0.1
363469000000,0.1
363470000000,0.1
363471000000,0.1
363472000000,0.1
363473000000,0.1
363474000000,0.1
363475000000,0.1
363476000000,0.1
363477000000,0.1
363478000000,0.1
363479000000,0.1
363480000000,0.1
363481000000,0.1
363482000000,0.1
363483000000,0.1
363484000000,0.1
363485000000,0.1
363486000000,0.1
363487000000,0.1
363488000000,0.1
363489000000,0.1
363490000000,0.1
363491000000,0.1
363492000000,0.1
363493000000,0.1
363494000000,0.1
363495000000,0.1
363496000000,0.1
363497000000,0.1
363498000000,0.1
363499000000,0.1
363500000000,0.1
363501000000,0.1
363502000000,0.1
363503000000,0.1
363504000000,0.1
363505000000,0.1
363506000000,0.1
363507000000,0.1
363508000000,0.1
363509000000,0.1
363510000000,0.1
363511000000,0.1
363512000000,0.1
363513000000,0.1
363514000000,0.1
363515000000,0.1
363516000000,0.1
363517000000,0.1
363518000000,0.1
363519000000,0.1
363520000000,0.1
363521000000,0.1
363522000000,0.1
363523000000,0.1
363524000000,0.1
363525000000,0.1
363526000000,0.1
363527000000,0.1
363528000000,0.1
363529000000,0.1
363530000000,0.1
363531000000,0.1
363532000000,0.1
363533000000,0.1
363534000000,0.1
363535000000,0.1
363536000000,0.1
363537000000,0.1
363538000000,0.1
363539000000,0.1
363540000000,0.1
363541000000,0.1
363542000000,0.1
363543000000,0.1
363544000000,0.1
363545000000,0.1
363546000000,0.1
363547000000,0.1
363548000000,0.1
363549000000,0.1
363550000000,0.1
363551000000,0.1
363552000000,0.1
363553000000,0.1
363554000000,0.1
363555000000,0.1
363556000000,0.1
363557000000,0.1
363558000000,0.1
363559000000,0.1
363560000000,0.1
363561000000,0.1
363562000000,0.1
363563000000,0.1
363564000000,0.1
363565000000,0.1
363566000000,0.1
363567000000,0.1
363568000000,0.1
363569000000,0.1
363570000000,0.1
363571000000,0.1
363572000000,0.1
363573000000,0.1
363574000000,0.1
363575000000,0.1
363576000000,0.1
363577000000,0.1
363578000000,0.1
363579000000,0.1
363580000000,0.1
363581000000,0.1
363582000000,0.1
363583000000,0.1
363584000000,0.1
363585000000,0.1
363586000000,0.1
363587000000,0.1
363588000000,0.1
363589000000,0.1
363590000000,0.1
363591000000,0.1
363592000000,0.1
363593000000,0.1
363594000000,0.1
363595000000,0.1
363596000000,0.1
363597000000,0.1
363598000000,0.1
363599000000,0.1
363600000000,0.1
363601000000,0.1
363602000000,0.1
363603000000,0.1
363604000000,0.1
363605000000,0.1
363606000000,0.1
363607000000,0.1
363608000000,0.1
363609000000,0.1
363610000000,0.1
363611000000,0.1
363612000000,0.1
363613000000,0.1
363614000000,0.1
363615000000,0.1
363616000000,0.1
363617000000,0.1
363618000000,0.1
363619000000,0.1
363620000000,0.1
363621000000,0.1
363622000000,0.1
363623000000,0.1
363624000000,0.1
363625000000,0.1
363626000000,0.1
363627000000,0.1
363628000000,0.1
363629000000,0.1
363630000000,0.1
363631000000,0.1
363632000000,0.1
