time,fext_field.header.seq,fext_field.header.stamp,fext_field.header.frame_id,fext_field.wrench.force.x,fext_field.wrench.force.y,fext_field.wrench.force.z,fext_field.wrench.torque.x,fext_field.wrench.torque.y,fext_field.wrench.torque.z,eevel_field.linear.x,eevel_field.linear.y,eevel_field.linear.z,eevel_field.angular.x,eevel_field.angular.y,eevel_field.angular.z,eepose_field.position.x,eepose_field.position.y,eepose_field.position.z,eepose_field.orientation.x,eepose_field.orientation.y,eepose_field.orientation.z,eepose_field.orientation.w,twist_cmd_field.linear.x,twist_cmd_field.linear.y,twist_cmd_field.linear.z,twist_cmd_field.angular.x,twist_cmd_field.angular.y,twist_cmd_field.angular.z,alpha_field.data,betar_field.data,betas_field.data,s_field.data,sdot_field.data,z_field.data,Dmat_field.layout.data_offset,Dmat_field.data0,Dmat_field.data1,Dmat_field.data2,Dmat_field.data3,Dmat_field.data4,Dmat_field.data5,Dmat_field.data6,Dmat_field.data7,Dmat_field.data8,eigval0_field.data,t_s,wdot
85709000000.0,28515,85707000000,panda_K,0.0296833625767569,-0.0069392926808677,0.0247891826293175,-0.0351141473857296,0.0966723509822774,-0.0297470348504691,-0.0002549202655194,0.002256481473353,-0.006044642187576,-0.0026303596613555,0.0031327921824051,0.0031144407975452,0.590030627711581,-0.0953251541437189,0.1816995868704009,0.9994735297371518,-0.0300735199946375,0.011549263973431,-0.0031720478057254,0.0176974080881864,-0.2033764665066672,0.1371748535475905,-0.0,-0.0,-0.0,0.0,1.0,0.0,9999.99999686712,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1,0.0,0.00036520646640730283
85710000000.0,28516,85710000000,panda_K,0.0296853763278026,-0.0069391443898822,0.024793278187936,-0.0351153073954166,0.0966715141344571,-0.0297481750261102,-0.0009184069125915,-0.0035253800253601,-0.0002066818742603,-0.0049891951813708,0.0007631777288293,-0.0003516383647159,0.590030627711581,-0.0953251541437189,0.1816995868704009,0.9994735297371518,-0.0300735199946375,0.011549263973431,-0.0031720478057254,0.0176974080881864,-0.2033764665066672,0.1371748535475905,-0.0,-0.0,-0.0,0.0,1.0,0.0,9999.99999686712,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1,1000000.0,-0.0003157197683084373
85713000000.0,28517,85713000000,panda_K,0.0296873862708372,-0.0069389960692009,0.0247973698184331,-0.0351164684016391,0.0966706769224101,-0.0297493160652178,-0.0009182275006718,-0.0035253611218918,-0.0002073793686838,-0.0049889588088404,0.0007629619167124,-0.0003516340095761,0.5900319671857128,-0.0953247927826027,0.1816970444558013,0.9994735297873996,-0.0300735194877706,0.0115492603389818,-0.0031720500115349,0.0176974080881864,-0.2033764665066672,0.1371748535475905,-0.0,-0.0,-0.0,0.0,1.0,0.0,9999.99999686712,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1,4000000.0,-0.0003156990636372823
85716000000.0,28518,85716000000,panda_K,0.0296893924220539,-0.0069388477186375,0.0248014575234391,-0.0351176304039502,0.0966698393479382,-0.0297504579650577,-0.0009180484179861,-0.0035253422663925,-0.0002080758258997,-0.0049887222440492,0.0007627459251032,-0.0003516296440832,0.5900333070561954,-0.0953244315046727,0.181694499612794,0.9994735298375916,-0.0300735189823996,0.0115492567066584,-0.0031720522131551,0.0176974080881864,-0.2033764665066672,0.1371748535475905,-0.0,-0.0,-0.0,0.0,1.0,0.0,9999.99999686712,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1,7000000.0,-0.00031567838093322264
85719000000.0,28519,85719000000,panda_K,0.029691394795238,-0.0069386993384816,0.0248055413057892,-0.0351187933975374,0.09666900140867,-0.0297516007254316,-0.0009178696633732,-0.0035253234587011,-0.0002087712466528,-0.0049884854874349,0.000762529754221,-0.0003516252683148,0.590034647321972,-0.0953240703101856,0.1816919523442448,0.999473529887727,-0.0300735184785194,0.0115492530764744,-0.0031720544105945,0.0176974080881864,-0.2033764665066672,0.1371748535475905,-0.0,-0.0,-0.0,0.0,1.0,0.0,9999.99999686712,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1,10000000.0,-0.00031565772018879684
85722000000.0,28520,85722000000,panda_K,0.0296933934062777,-0.0069385509283431,0.0248096211673642,-0.0351199573833659,0.0966681631053991,-0.0297527443444895,-0.0009176912356093,-0.0035253046985941,-0.0002094656318815,-0.004988248539134,0.000762313404493,-0.0003516208824181,0.5900359879819878,-0.0953237091993978,0.1816894026530189,0.999473529937806,-0.0300735179761268,0.0115492494484408,-0.0031720566038631,0.0176974080881864,-0.2033764665066672,0.1371748535475905,-0.0,-0.0,-0.0,0.0,1.0,0.0,9999.99999686712,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1,13000000.0,-0.0003156370813926933
85725000000.0,28521,85725000000,panda_K,0.0296953882700873,-0.0069384024884316,0.0248136971116687,-0.0351211223581281,0.0966673244396007,-0.0297538888204968,-0.0009175131336073,-0.0035252859859469,-0.0002101589824516,-0.0049880113995758,0.0007620968763137,-0.0003516164863073,0.5900373290351929,-0.0953233481725651,0.1816868505419776,0.9994735299878288,-0.0300735174752169,0.0115492458225699,-0.0031720587929687,0.0176974080881864,-0.2033764665066672,0.1371748535475905,-0.0,-0.0,-0.0,0.0,1.0,0.0,9999.99999686712,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1,16000000.0,-0.0003156164645477621
85728000000.0,28522,85728000000,panda_K,0.0296973794009344,-0.0069382540190145,0.0248177691403191,-0.0351222883184435,0.0966664854105488,-0.0297550341536602,-0.0009173353561812,-0.0035252673203676,-0.0002108512991983,-0.0049877740688193,0.0007618801700072,-0.0003516120800707,0.5900386704805404,-0.095322987229945,0.18168429601398,0.9994735300377948,-0.0300735169757869,0.0115492421988745,-0.0031720609779202,0.0176974080881864,-0.2033764665066672,0.1371748535475905,-0.0,-0.0,-0.0,0.0,1.0,0.0,9999.99999686712,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1,19000000.0,-0.00031559586962523733
85731000000.0,28523,85731000000,panda_K,0.0296993668140518,-0.00693810552021,0.0248218372557756,-0.0351234552629204,0.0966656460210547,-0.0297561803433751,-0.0009171579021314,-0.0035252487017275,-0.000211542582952,-0.0049875365472343,0.000761663285722,-0.000351607663874,0.5900400123169866,-0.0953226263717905,0.181681739071883,0.9994735300877045,-0.0300735164778329,0.0115492385773641,-0.0031720631587269,0.0176974080881864,-0.2033764665066672,0.1371748535475905,-0.0,-0.0,-0.0,0.0,1.0,0.0,9999.99999686712,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1,22000000.0,-0.00031557529663507936
85734000000.0,28524,85734000000,panda_K,0.0297013505231564,-0.0069379569918242,0.0248259014613664,-0.0351246231894882,0.096664806268689,-0.0297573273875382,-0.0009169807703433,-0.0035252301298463,-0.0002122328345371,-0.0049872988351444,0.0007614462238678,-0.0003516032375562,0.590041354543491,-0.0953222655983555,0.181679179718542,0.9994735301375572,-0.030073515981351,0.011549234958051,-0.0031720653353977,0.0176974080881864,-0.2033764665066672,0.1371748535475905,-0.0,-0.0,-0.0,0.0,1.0,0.0,9999.99999686712,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1,25000000.0,-0.00031555474556172836
